"Team","Season","Year","Points"
"Ajax","1956/57",1957,49
"Ajax","1957/58",1958,42
"Ajax","1958/59",1959,37
"Ajax","1959/60",1960,50
"Ajax","1960/61",1961,51
"Ajax","1961/62",1962,39
"Ajax","1962/63",1963,39
"Ajax","1963/64",1964,34
"Ajax","1964/65",1965,26
"Ajax","1965/66",1966,52
"Ajax","1966/67",1967,56
"Ajax","1967/68",1968,58
"Ajax","1968/69",1969,54
"Ajax","1969/70",1970,60
"Ajax","1970/71",1971,53
"Ajax","1971/72",1972,63
"Ajax","1972/73",1973,60
"Ajax","1973/74",1974,51
"Ajax","1974/75",1975,49
"Ajax","1975/76",1976,50
"Ajax","1976/77",1977,52
"Ajax","1977/78",1978,49
"Ajax","1978/79",1979,54
"Ajax","1979/80",1980,50
"Ajax","1980/81",1981,48
"Ajax","1981/82",1982,56
"Ajax","1982/83",1983,58
"Ajax","1983/84",1984,51
"Ajax","1984/85",1985,54
"Ajax","1985/86",1986,52
"Ajax","1986/87",1987,53
"Ajax","1987/88",1988,50
"Ajax","1988/89",1989,50
"Ajax","1989/90",1990,49
"Ajax","1990/91",1991,53
"Ajax","1991/92",1992,55
"Ajax","1992/93",1993,49
"Ajax","1993/94",1994,54
"Ajax","1994/95",1995,61
"Ajax","1995/96",1996,83
"Ajax","1996/97",1997,61
"Ajax","1997/98",1998,89
"Ajax","1998/99",1999,57
"Ajax","1999/00",2000,61
"Ajax","2000/01",2001,61
"Ajax","2001/02",2002,73
"Ajax","2002/03",2003,83
"Ajax","2003/04",2004,80
"Ajax","2004/05",2005,77
"Ajax","2005/06",2006,60
"Ajax","2006/07",2007,75
"Ajax","2007/08",2008,69
"Ajax","2008/09",2009,68
"Ajax","2009/10",2010,85
"Ajax","2010/11",2011,73
"Ajax","2011/12",2012,76
"Ajax","2012/13",2013,76
"Ajax","2013/14",2014,71
"Ajax","2014/15",2015,71
"Ajax","2015/16",2016,82
"Ajax","2016/17",2017,81
"Feyenoord","1956/57",1957,39
"Feyenoord","1957/58",1958,32
"Feyenoord","1958/59",1959,41
"Feyenoord","1959/60",1960,50
"Feyenoord","1960/61",1961,53
"Feyenoord","1961/62",1962,50
"Feyenoord","1962/63",1963,37
"Feyenoord","1963/64",1964,37
"Feyenoord","1964/65",1965,45
"Feyenoord","1965/66",1966,45
"Feyenoord","1966/67",1967,51
"Feyenoord","1967/68",1968,55
"Feyenoord","1968/69",1969,57
"Feyenoord","1969/70",1970,55
"Feyenoord","1970/71",1971,57
"Feyenoord","1971/72",1972,55
"Feyenoord","1972/73",1973,58
"Feyenoord","1973/74",1974,56
"Feyenoord","1974/75",1975,53
"Feyenoord","1975/76",1976,52
"Feyenoord","1976/77",1977,44
"Feyenoord","1977/78",1978,32
"Feyenoord","1978/79",1979,51
"Feyenoord","1979/80",1980,43
"Feyenoord","1980/81",1981,45
"Feyenoord","1981/82",1982,38
"Feyenoord","1982/83",1983,54
"Feyenoord","1983/84",1984,57
"Feyenoord","1984/85",1985,48
"Feyenoord","1985/86",1986,44
"Feyenoord","1986/87",1987,42
"Feyenoord","1987/88",1988,36
"Feyenoord","1988/89",1989,40
"Feyenoord","1989/90",1990,31
"Feyenoord","1990/91",1991,32
"Feyenoord","1991/92",1992,49
"Feyenoord","1992/93",1993,53
"Feyenoord","1993/94",1994,51
"Feyenoord","1994/95",1995,43
"Feyenoord","1995/96",1996,63
"Feyenoord","1996/97",1997,73
"Feyenoord","1997/98",1998,61
"Feyenoord","1998/99",1999,80
"Feyenoord","1999/00",2000,64
"Feyenoord","2000/01",2001,66
"Feyenoord","2001/02",2002,64
"Feyenoord","2002/03",2003,80
"Feyenoord","2003/04",2004,68
"Feyenoord","2004/05",2005,62
"Feyenoord","2005/06",2006,71
"Feyenoord","2006/07",2007,53
"Feyenoord","2007/08",2008,60
"Feyenoord","2008/09",2009,45
"Feyenoord","2009/10",2010,63
"Feyenoord","2010/11",2011,44
"Feyenoord","2011/12",2012,70
"Feyenoord","2012/13",2013,69
"Feyenoord","2013/14",2014,67
"Feyenoord","2014/15",2015,59
"Feyenoord","2015/16",2016,63
"Feyenoord","2016/17",2017,82
